p,q,r,theta_1,theta_2,theta_3,theta_4
0.776941,-0.00612944,-0.00980783,0.0421848,-0.350514,-0.0912724,-0.161835
0.766557,-0.00571384,-0.0101604,0.0414171,-0.351282,-0.0920391,-0.162602
0.755407,-0.00489519,-0.0101319,0.0406504,-0.352049,-0.0928059,-0.163369
0.743848,-0.00403497,-0.00953701,0.0398836,-0.352816,-0.0935726,-0.164136
0.731642,-0.00377671,-0.00877059,0.0391169,-0.353582,-0.0943403,-0.164136
0.719094,-0.0049112,-0.00952005,0.0383492,-0.35435,-0.0943403,-0.164903
0.706903,-0.00558875,-0.0102261,0.0375824,-0.355117,-0.0951071,-0.16567
0.694027,-0.00518229,-0.0106318,0.0368156,-0.355884,-0.0958738,-0.166437
0.680453,-0.00476021,-0.0101637,0.0360489,-0.35665,-0.0966406,-0.166437
0.668155,-0.00386447,-0.0100003,0.0352812,-0.357418,-0.0966406,-0.167204
0.655516,-0.00543773,-0.0104838,0.0345144,-0.358185,-0.0974083,-0.167971
0.641429,-0.00619015,-0.00966305,0.0345144,-0.358952,-0.098175,-0.167971
0.628284,-0.00632173,-0.0100024,0.0337477,-0.359718,-0.0989418,-0.168738
0.61645,-0.00420439,-0.00992005,0.0329809,-0.359718,-0.0989418,-0.169505
0.604398,-0.00491334,-0.00897899,0.0322132,-0.360486,-0.0997086,-0.169505
0.591971,-0.00645801,-0.00818838,0.0314465,-0.361253,-0.0997086,-0.170272
0.579786,-0.00550156,-0.00703186,0.0314465,-0.36202,-0.100475,-0.170272
0.567946,-0.00334376,-0.00644095,0.0306797,-0.362786,-0.101243,-0.171039
0.554936,-0.00305721,-0.00597683,0.0299129,-0.362786,-0.101243,-0.171806
0.541396,-0.00374511,-0.00637444,0.0291452,-0.363554,-0.10201,-0.171806
0.528051,-0.00325394,-0.00750471,0.0291452,-0.364321,-0.10201,-0.172573
0.515164,-0.00281177,-0.00824098,0.0283785,-0.364321,-0.102777,-0.17334
0.502283,-0.00211096,-0.00962309,0.0276117,-0.365088,-0.102777,-0.17334
0.488856,-0.00226258,-0.00990184,0.0276117,-0.365854,-0.103543,-0.174107
0.477185,-0.00278427,-0.00907862,0.026845,-0.365854,-0.103543,-0.174107
0.464978,-0.00339369,-0.0076574,0.0260773,-0.366622,-0.104311,-0.174874
0.453719,-0.00357609,-0.00670897,0.0260773,-0.366622,-0.104311,-0.174874
0.441835,-0.0034932,-0.00605833,0.0253105,-0.367389,-0.105078,-0.175641
0.428741,-0.00430921,-0.00584996,0.0253105,-0.367389,-0.105078,-0.175641
0.414945,-0.0065506,-0.00580059,0.0245438,-0.368155,-0.105844,-0.176408
0.401364,-0.00607012,-0.00692356,0.0245438,-0.368155,-0.105844,-0.176408
0.387862,-0.00501893,-0.00903458,0.023777,-0.368922,-0.106611,-0.177175
0.374144,-0.00393392,-0.00927152,0.023777,-0.368922,-0.106611,-0.177175
0.361172,-0.00353327,-0.0085131,0.0230093,-0.36969,-0.106611,-0.177175
0.349249,-0.00270442,-0.00844546,0.0230093,-0.36969,-0.107379,-0.177942
0.337732,-0.00250658,-0.00907557,0.0222425,-0.370457,-0.107379,-0.177942
