p,q,r,theta_1,theta_2,theta_3,theta_4
-0.323748,0.0020484,-0.0044606,0.415709,0.00306797,0.257709,0.18868
-0.308975,0.00291972,-0.00363182,0.415709,0.00306797,0.257709,0.189446
-0.294344,0.00252642,-0.00357667,0.416476,0.00383472,0.257709,0.189446
-0.279307,0.00167192,-0.00430301,0.416476,0.00383472,0.258476,0.189446
-0.263536,0.00114924,-0.00422272,0.416476,0.00383472,0.258476,0.189446
-0.247537,0.000581293,-0.00427909,0.416476,0.00460148,0.258476,0.190214
-0.232473,5.18E-05,-0.00455385,0.417243,0.00460148,0.259243,0.190214
-0.21913,0.000548652,-0.00577445,0.417243,0.00460148,0.259243,0.190214
-0.20534,0.000954403,-0.00567792,0.417243,0.00460148,0.259243,0.190214
-0.191261,0.000837422,-0.00569686,0.417243,0.00460148,0.259243,0.190981
-0.175484,0.00120067,-0.00596469,0.417243,0.00536919,0.259243,0.190981
-0.159695,0.00292627,-0.00509019,0.417243,0.00536919,0.259243,0.190981
-0.145542,0.00340662,-0.00433083,0.41801,0.00536919,0.26001,0.190981
-0.130763,0.00263423,-0.00365645,0.41801,0.00536919,0.26001,0.190981
-0.115594,0.00195049,-0.00445922,0.41801,0.00536919,0.26001,0.190981
-0.100505,0.00257552,-0.00520092,0.41801,0.00536919,0.26001,0.190981
-0.0847802,0.0023407,-0.00537653,0.41801,0.00536919,0.26001,0.191748
-0.0705747,0.00227482,-0.00613713,0.41801,0.00536919,0.26001,0.191748
-0.0569095,0.00205755,-0.00636098,0.41801,0.00536919,0.26001,0.191748
-0.0427953,0.00250221,-0.00650399,0.41801,0.00536919,0.26001,0.191748
-0.0273567,0.00228649,-0.00579921,0.41801,0.00536919,0.26001,0.191748
-0.0120643,0.00259893,-0.00507871,0.41801,0.00536919,0.26001,0.191748
0.00266924,0.00286741,-0.00483855,0.41801,0.00536919,0.26001,0.191748
0.0175277,0.00302616,-0.00494975,0.41801,0.00536919,0.26001,0.191748
0.0316449,0.00173168,-0.00515514,0.41801,0.00536919,0.26001,0.191748
0.0463171,0.000598512,-0.00441241,0.41801,0.00536919,0.26001,0.191748
0.0612775,0.00107171,-0.00537999,0.41801,0.00536919,0.26001,0.191748
0.076694,0.00236147,-0.00721811,0.41801,0.00536919,0.26001,0.191748
0.0919368,0.0024398,-0.00688236,0.41801,0.00536919,0.26001,0.191748
0.107357,0.00366741,-0.00666352,0.41801,0.00536919,0.26001,0.191748
0.122186,0.00495394,-0.00613813,0.41801,0.00536919,0.26001,0.191748
0.136176,0.00519472,-0.00662083,0.41801,0.00536919,0.26001,0.190981
0.149972,0.00472476,-0.00666878,0.41801,0.00536919,0.26001,0.190981
0.163858,0.00423518,-0.0064914,0.41801,0.00536919,0.26001,0.190981
0.179465,0.00354338,-0.00728691,0.417243,0.00536919,0.259243,0.190981
0.194993,0.00313557,-0.00843731,0.417243,0.00460148,0.259243,0.190981
0.210641,0.00196944,-0.009949,0.417243,0.00460148,0.259243,0.190214
0.224882,-0.000101143,-0.0102684,0.416476,0.00460148,0.258476,0.190214
0.239325,-0.00107931,-0.00983945,0.416476,0.00460148,0.258476,0.190214
0.253271,-0.000607335,-0.00915864,0.416476,0.00383472,0.258476,0.189446
0.267921,0.000606849,-0.00773819,0.415709,0.00383472,0.257709,0.189446
0.281178,0.00228627,-0.00739297,0.415709,0.00383472,0.257709,0.189446
0.294761,0.00252295,-0.00792588,0.415709,0.00306797,0.257709,0.18868
0.308935,0.00262647,-0.00872451,0.414942,0.00306797,0.256942,0.18868
0.321565,0.00171444,-0.00797927,0.414942,0.00230122,0.256942,0.18868
0.335121,0.000937029,-0.00811526,0.414175,0.00230122,0.256175,0.187913
0.349003,0.000871113,-0.00868443,0.414175,0.00230122,0.256175,0.187913
0.363721,0.00100972,-0.0093819,0.414175,0.00153351,0.255408,0.187146
0.378742,0.000898658,-0.00811481,0.413408,0.00153351,0.255408,0.187146
0.392874,0.000921852,-0.00660462,0.412641,0.000766754,0.254641,0.186378
0.405972,-0.000122958,-0.00567556,0.412641,0.000766754,0.254641,0.186378
