x,y,z
0.0351562,0.563721,0.782471
0.0393066,0.562012,0.784912
0.0410156,0.561768,0.784424
0.0415039,0.561768,0.7854
0.0422363,0.561523,0.787598
0.0415039,0.562256,0.788574
0.043457,0.564941,0.786621
0.0424805,0.564941,0.78418
0.0395508,0.562988,0.780273
0.0361328,0.564209,0.782715
0.0351562,0.565674,0.787354
0.0371094,0.565674,0.788574
0.0388184,0.566895,0.787842
0.0410156,0.568115,0.786865
0.0390625,0.564941,0.787354
0.0383301,0.563232,0.787109
0.0397949,0.565918,0.787842
0.0407715,0.567139,0.784668
0.0405273,0.563721,0.783447
0.0390625,0.559814,0.786377
0.0402832,0.562988,0.785889
0.0378418,0.56665,0.782227
0.036377,0.56665,0.781494
0.0395508,0.565674,0.782959
0.0407715,0.564697,0.783203
0.0407715,0.564697,0.780029
0.0380859,0.565674,0.779297
0.0407715,0.561768,0.780518
0.0415039,0.561523,0.778564
0.0395508,0.563965,0.779541
0.0422363,0.561035,0.784668
0.0432129,0.563965,0.784668
0.0415039,0.566162,0.77832
0.0380859,0.561523,0.777832
0.0400391,0.562012,0.783447
0.0390625,0.565186,0.783447
0.0385742,0.564697,0.780273
0.0402832,0.565918,0.777588
0.0385742,0.56543,0.774658
0.0378418,0.568359,0.778564
0.0397949,0.570312,0.781006
0.0415039,0.567383,0.781738
0.0390625,0.567627,0.782471
0.0349121,0.568848,0.78125
0.0344238,0.567139,0.78125
0.0393066,0.562988,0.783691
0.0405273,0.561523,0.782471
0.0371094,0.562256,0.782715
0.0356445,0.564941,0.782959
0.0375977,0.567139,0.781738
0.0400391,0.564209,0.788086
0.0383301,0.565674,0.782227
0.0366211,0.565186,0.780029
0.0356445,0.56543,0.7854
0.0351562,0.567139,0.781006
0.0368652,0.564453,0.777832
0.0378418,0.56543,0.785156
0.0361328,0.565674,0.785889
0.0366211,0.563232,0.783936
0.0385742,0.561768,0.783691
0.0375977,0.564209,0.782471
0.0366211,0.564453,0.78125
0.0378418,0.562744,0.782715
0.0393066,0.564209,0.782227
0.0407715,0.56665,0.783447
0.0422363,0.563721,0.782227
0.0427246,0.559326,0.77832
0.0422363,0.560303,0.77832
0.0390625,0.561279,0.779053
0.0373535,0.560547,0.78125
0.0402832,0.562012,0.781494
0.0419922,0.562988,0.779297
0.0422363,0.564941,0.780518
0.043457,0.564941,0.7854
0.0412598,0.561768,0.787842
0.0390625,0.562256,0.784424
0.0378418,0.562012,0.783691
0.0361328,0.561523,0.784424
0.0373535,0.564697,0.782227
0.0380859,0.5625,0.78418
0.0380859,0.561279,0.788086
0.0390625,0.564941,0.786865
0.0368652,0.56665,0.784668
0.0366211,0.56543,0.782715
0.0375977,0.562012,0.779541
0.0380859,0.560791,0.778076
0.036377,0.55835,0.781494
0.0339355,0.559082,0.784912
0.0344238,0.56543,0.785156
0.0371094,0.568115,0.7854
0.0383301,0.566406,0.783203
0.0354004,0.566406,0.78125
0.0366211,0.567627,0.778809
